,Property_name,Location,Rating,Review,Type_of_stay,Stay_duration_and_group_size,price,Taxes_and_charges_inr
0,Olive Service Apartments Rohini,"Rohini, New Delhi",9.8,Exceptional,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•111m²2 extra-large double beds,"5 nights, 10 adults","₹47,814","5,738"
1,Olive Service Apartments - Greater Kailash,"Greater Kailash 1, New Delhi",9.0,Superb,1×Standard Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•98m²2 extra-large double beds,"5 nights, 10 adults","₹149,629","26,933"
2,Anara Service Apartments - Greater Kailash Part II,New Delhi,8.3,Very good,1×Studio with BalconyEntire studio•1 kitchen•120m²1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹152,620",
3,Homlee-Excellency Large 4BHK-South Delhi- NFC,"New Friends Colony, New Delhi",8.8,Fabulous,,"5 nights, 10 adults","₹67,250","13,305"
4,BedChambers Serviced Apartments South Extension,New Delhi,8.7,Fabulous,"2×Three-Bedroom Apartment2 entire apartments•6 bedrooms•2 living rooms•6 bathrooms•2 kitchens8 beds (2 sofa beds, 6 large doubles)","5 nights, 10 adults","₹144,982",
5,Homlee-Green Luxury 3BHK-South DEL-NFC-Lift,"New Friends Colony, New Delhi",,Exceptional,,"5 nights, 10 adults","₹67,250","13,104"
6,Olive Serviced Apartments - Defence Colony,New Delhi,7.5,Good,1×Standard StudioEntire studio•1 bathroom•36m²1 large double bedFree cancellation,"5 nights, 10 adults","₹192,026","34,565"
7,Ideal 3bhk apartment!Downtown,New Delhi,,,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•93m²2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹50,000",
8,Vista Residences at GK 1 - Air Purifier and Complimentary Breakfast,"Greater Kailash 1, New Delhi",8.4,Very good,"1×ApartmentEntire apartment•3 bedrooms•3 bathrooms•48m²3 beds (1 extra-large double, 2 large doubles)Free cancellation","5 nights, 10 adults","₹113,606","17,769"
9,Homlee-Vintage 2BHK-Fort View-Bharat Mandapam-NDLS,"Central Delhi, New Delhi",7.2,Good,2×Two-Bedroom Apartment2 entire apartments•4 bedrooms•4 bathrooms•2 kitchens4 double bedsFree cancellation,"5 nights, 10 adults","₹57,490","8,097"
10,Homlee-Anupam 3BHK-Lift-Parking-Saket-Max Hospital,"South Delhi, New Delhi",8.9,Fabulous,,"5 nights, 10 adults","₹57,250","11,304"
11,Homlee-Pentagon 3 BHK luxurious-Lift-Parking-Saket,"Saket, New Delhi",9.0,Superb,,"5 nights, 10 adults","₹102,500","19,649"
12,StayVista at The Cityscape with Lawn & Pool,"Dwarka, New Delhi",9.3,Superb,,"5 nights, 10 adults","₹200,175","36,032"
13,Hyatt Delhi Residences,"Aerocity, New Delhi",8.9,Fabulous,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 kitchen•10m²2 extra-large double beds,"5 nights, 10 adults","₹268,000","48,240"
14,StayVista's Anantam - Luxury 4BR villa with Huge Swimming Pool in Delhi,New Delhi,,,,"5 nights, 10 adults","₹354,469","63,804"
15,"Fortune Home Service Apartment 3Bhk,J-171 Saket","Saket, New Delhi",,,"1×Three-Bedroom Standard ApartmentEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•350m²3 beds (1 double, 1 extra-large double, 1 large double)Free cancellation","5 nights, 10 adults","₹91,195","27,615"
16,Urban Nest -New 3BHK Apartments,"South Delhi, New Delhi",8.0,,1×Three-Bedroom Apartment with BalconyEntire apartment•3 bedrooms•3 bathrooms•1 kitchen•220m²3 double bedsFree cancellation,"5 nights, 10 adults","₹149,060","26,831"
17,"Fortune Home Service Apartment 3Bhk,E-28, Saket 2B","Saket, New Delhi",8.0,,1×Three-Bedroom Superior ApartmentEntire apartment•3 bedrooms•1 living room•2 bathrooms•1 kitchen•300m²3 extra-large double bedsFree cancellation,"5 nights, 10 adults","₹81,596","25,596"
18,Safdarjung Enclave,"Safdarjung Enclave, New Delhi",8.5,Very good,"1×Safdarjung Enclave-3BHK apartment with WiFiEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•195m²4 beds (3 doubles, 1 sofa bed)","5 nights, 10 adults","₹135,232","24,342"
19,Olive Service Apartments Saket,"Saket, New Delhi",,,,"5 nights, 10 adults","₹174,398","31,392"
20,Hotel Godwin Deluxe -Free Airport Pickup -Traveller's Choice Award Winner 2025,"Paharganj, New Delhi",8.4,Very good,4×Premier Studio with In-room Air Purifier4 entire studios•4 bathroomsMultiple bed typesFree cancellation,"5 nights, 10 adults","₹81,600","9,792"
21,"The Prime Delhi, A Luxury Collection Hotel","Paharganj, New Delhi",8.0,,5×Superior Studio with airport pickup5 entire studios•5 bathrooms5 extra-large double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹123,750","14,850"
22,Hotel Atlantis Continental,"Paharganj, New Delhi",8.3,Very good,5×Deluxe Studio5 entire studios•5 bathrooms5 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 10 adults","₹64,984","7,798"
23,"Hotel Apple Inn & Suites, New Delhi","Paharganj, New Delhi",8.3,Very good,5×Superior Studio5 entire studios•5 bathrooms5 double beds,"5 nights, 10 adults","₹43,082","5,170"
24,EMPIRE PLATINUM SUITES,"Paharganj, New Delhi",8.8,Fabulous,"4×Luxury studio apartment with kitchenette( New Delhi City Tour  included  )4 entire apartments•4 bedrooms•4 living rooms•4 bathrooms•4 kitchens8 beds (4 sofa beds, 4 large doubles)Free cancellationNo prepayment needed– pay at the property","5 nights, 10 adults","₹128,261","15,391"
25,Hyatt Delhi Residences,"Aerocity, New Delhi",8.9,Fabulous,1×One-Bedroom ApartmentEntire apartment•1 bedroom•1 kitchen1 extra-large double bed,"5 nights, 8 adults, 2 children","₹220,000","39,600"
26,BedChambers Serviced Apartments South Extension,New Delhi,8.7,Fabulous,"2×Three-Bedroom Apartment2 entire apartments•6 bedrooms•2 living rooms•6 bathrooms•2 kitchens8 beds (2 sofa beds, 6 large doubles)","5 nights, 8 adults, 2 children","₹144,982",
27,Homlee-Excellency Large 4BHK-South Delhi- NFC,"New Friends Colony, New Delhi",8.8,Fabulous,,"5 nights, 8 adults, 2 children","₹63,500","12,630"
28,Anara Service Apartments - Greater Kailash Part II,New Delhi,8.3,Very good,1×King StudioEntire studio•1 bathroom•1 kitchen•120m²1 extra-large double bedFree cancellationNo prepayment needed– pay at the property,"5 nights, 8 adults, 2 children","₹142,207",
29,Homlee-Green Luxury 3BHK-South DEL-NFC-Lift,"New Friends Colony, New Delhi",,Exceptional,,"5 nights, 8 adults, 2 children","₹61,750","12,114"
30,Homlee-Anupam 3BHK-Lift-Parking-Saket-Max Hospital,"South Delhi, New Delhi",8.9,Fabulous,,"5 nights, 8 adults, 2 children","₹53,000","10,539"
31,Homlee-Vintage 2BHK-Fort View-Bharat Mandapam-NDLS,"Central Delhi, New Delhi",7.2,Good,2×Two-Bedroom Apartment2 entire apartments•4 bedrooms•4 bathrooms•2 kitchens4 double bedsFree cancellation,"5 nights, 8 adults, 2 children","₹53,240","7,587"
32,Ideal 3bhk apartment!Downtown,New Delhi,,,1×Two-Bedroom ApartmentEntire apartment•2 bedrooms•1 living room•2 bathrooms•1 kitchen•93m²2 double bedsFree cancellationNo prepayment needed– pay at the property,"5 nights, 8 adults, 2 children","₹50,000",
33,"BluO 4BHK Safdarjung Enclave - Balcony, Lift","Safdarjung Enclave, New Delhi",,,,"5 nights, 8 adults, 2 children","₹73,369","13,206"
34,Olive Serviced Apartments - Defence Colony,New Delhi,7.5,Good,,"5 nights, 8 adults, 2 children","₹141,465","25,464"
35,Urban Nest -New 3BHK Apartments,"South Delhi, New Delhi",8.0,,1×Three-Bedroom Apartment with BalconyEntire apartment•3 bedrooms•3 bathrooms•1 kitchen•220m²3 double bedsFree cancellation,"5 nights, 8 adults, 2 children","₹149,060","26,831"
36,Homlee-Pentagon 3 BHK luxurious-Lift-Parking-Saket,"Saket, New Delhi",9.0,Superb,,"5 nights, 8 adults, 2 children","₹97,500","18,749"
37,StayVista at The Cityscape with Lawn & Pool,"Dwarka, New Delhi",9.3,Superb,,"5 nights, 8 adults, 2 children","₹193,275","34,790"
38,Alaya Stays 3 BHK Pet friendly with Pvt Pool - Daffodil,"South Delhi, New Delhi",9.7,Exceptional,,"5 nights, 8 adults, 2 children","₹171,503","30,871"
39,"Fortune Home Service Apartment 3Bhk,J-171 Saket","Saket, New Delhi",,,"1×Three-Bedroom Standard ApartmentEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•350m²3 beds (1 double, 1 extra-large double, 1 large double)Free cancellation","5 nights, 8 adults, 2 children","₹91,195","27,615"
40,StayVista's Anantam - Luxury 4BR villa with Huge Swimming Pool in Delhi,New Delhi,,,,"5 nights, 8 adults, 2 children","₹346,969","62,454"
41,Safdarjung Enclave,"Safdarjung Enclave, New Delhi",8.5,Very good,"1×Safdarjung Enclave-3BHK apartment with WiFiEntire apartment•3 bedrooms•1 living room•3 bathrooms•1 kitchen•195m²4 beds (3 doubles, 1 sofa bed)","5 nights, 8 adults, 2 children","₹135,232","24,342"
42,"Fortune Home Service Apartment 3Bhk,E-28, Saket 2B","Saket, New Delhi",8.0,,1×Three-Bedroom Superior ApartmentEntire apartment•3 bedrooms•1 living room•2 bathrooms•1 kitchen•300m²3 extra-large double bedsFree cancellation,"5 nights, 8 adults, 2 children","₹81,596","25,596"
43,Olive Service Apartments Saket,"Saket, New Delhi",,,,"5 nights, 8 adults, 2 children","₹174,398","31,392"
44,EMPIRE PLATINUM SUITES,"Paharganj, New Delhi",8.8,Fabulous,"4×Luxury studio apartment with kitchenette( New Delhi City Tour  included  )4 entire apartments•4 bedrooms•4 living rooms•4 bathrooms•4 kitchens8 beds (4 sofa beds, 4 large doubles)Free cancellationNo prepayment needed– pay at the property","5 nights, 8 adults, 2 children","₹125,913","15,110"
45,Homlee-Gokul 3BHK Flat-Lift-Parking-vaishali metro,Ghaziabad,,Exceptional,,"5 nights, 8 adults, 2 children","₹38,000","7,739"
46,Lime Tree Hotel & One Bed Room Serviced Apartment - Noida Sector 50 Metro with Party Venue,Noida,9.2,Superb,"3×One-Bedroom Apartment3 entire apartments•3 bedrooms•3 living rooms•3 bathrooms•3 kitchens6 beds (3 doubles, 3 sofa beds)Free cancellationNo prepayment needed– pay at the property","5 nights, 8 adults, 2 children","₹85,050","10,206"
47,ZEN Studios - DLF CyberCity Gurgaon,"DLF Cyber City, Gurgaon",8.1,Very good,1×Standard StudioEntire studio•1 bathroom•1 kitchen•29m²1 large double bed,"5 nights, 8 adults, 2 children","₹95,130","11,416"
48,StayVista at Cloudberry Estate - Pet Freindly Villa with Private Outdoor Pool & Lawn,Faridabad,7.0,Good,,"5 nights, 8 adults, 2 children","₹165,225","29,741"
